Symbol,Price,Change %,Volume,Rel Volume,Market cap,P/E,EPS dilTTM,EPS dil growthTTM YoY,Div yield %TTM,Sector,Analyst Rating
,,,,,,,,,,,
BBRENBARITO RENEWABLES ENERGY TBK,8075 IDR,+4.19%,42.478M,0.90,963.261T IDR,—,—,—,0.00%,Utilities,—
BRPTBARITO PACIFIC TBK,1860 IDR,+16.25%,1.24B,3.44,122.589T IDR,427.56,4.35 IDR,+38.14%,0.12%,Non-Energy Minerals,Neutral
BBUAHSEGAR KUMALA INDONESIA TBK,2080 IDR,+2.97%,444.1K,0.91,2T IDR,64.50,32.25 IDR,—,0.70%,Distribution Services,—
CCUANPETRINDO JAYA KREASI TBK,10800 IDR,+9.92%,12.359M,0.83,110.452T IDR,269.70,40.04 IDR,—,0.00%,Non-Energy Minerals,—
GGMTDGOWA MAKASSAR TOURISM DEVELPOMENT,23825 IDR,+9.67%,200,1.33,2.206T IDR,28.50,836.06 IDR,—,0.01%,Finance,—
IIOTFSUMBER SINERGI MAKMUR TBK,168 IDR,+6.33%,168.893M,2.13,—,—,—,—,—,Distribution Services,—
PPDPPPRIMADAYA PLASTISINDO TBK,376 IDR,+10.59%,35.941M,3.07,1.022T IDR,—,—,—,0.78%,Process Industries,—
PPTROPETROSEA,7225 IDR,+0.35%,25.265M,1.51,6.247T IDR,11.58,623.68 IDR,+31.68%,18.19%,Industrial Services,—
TPIACHANDRA ASRI PETROCHEMICAL TBK,4800 IDR,+10.34%,160.473M,4.54,301.06T IDR,—,−10.31 IDR,+51.12%,0.15%,Process Industries,Strong sell
