Symbol,Change %,Price,Volume,Rel Volume,Market cap,P/E,EPS dilTTM,EPS dil growthTTM YoY,Div yield %TTM,Sector,Analyst Rating
,,,,,,,,,,,
GGZCOGOZCO PLANTATIONS TBK,+27.64%,157 IDR,1.329B,9.66,630B IDR,10.29,15.26 IDR,+100.46%,0.00%,Process Industries,—
ARCIARCHI INDONESIA TBK,+18.00%,472 IDR,306.33M,5.19,10.48T IDR,74.38,6.35 IDR,−66.99%,0.00%,Non-Energy Minerals,—
BRPTBARITO PACIFIC TBK,+15.94%,1855 IDR,1.246B,3.46,122.589T IDR,426.41,4.35 IDR,+38.14%,0.12%,Non-Energy Minerals,Neutral
GGOTOGOTO GOJEK TOKOPEDIA TBK,+13.68%,108 IDR,11.596B,1.27,97.785T IDR,—,−27.34 IDR,+7.94%,0.00%,Technology Services,Buy
AAPLIASIAPLAST INDUSTRIES,+12.97%,540 IDR,16.8K,0.64,715.402B IDR,12.79,42.21 IDR,+38.96%,0.00%,Process Industries,—
VINSVICTORIA INSURANCE TBK PT,+12.95%,157 IDR,1.323M,9.53,205.941B IDR,16.40,9.57 IDR,+70.95%,3.33%,Finance,—
HHOKIBUYUNG POETRA SEMBADA TBK,+12.64%,196 IDR,88.242M,0.62,1.79T IDR,—,−1.30 IDR,−511.76%,0.54%,Process Industries,—
BBESSBATULICIN NUSANTARA MARITIM TBK,+11.56%,164 IDR,96.667M,9.20,516.068B IDR,—,—,—,0.00%,Transportation,—
PPDPPPRIMADAYA PLASTISINDO TBK,+11.18%,378 IDR,35.986M,3.07,1.022T IDR,—,—,—,0.78%,Process Industries,—
BBMDBANK MESTIKA DHARMA TBK,+10.12%,1850 IDR,100,0.00,7.651T IDR,17.35,106.64 IDR,—,1.80%,Finance,—
CCUANPETRINDO JAYA KREASI TBK,+9.92%,10800 IDR,12.517M,0.84,110.452T IDR,269.70,40.04 IDR,—,0.00%,Non-Energy Minerals,—
GGMTDGOWA MAKASSAR TOURISM DEVELPOMENT,+9.67%,23825 IDR,200,1.33,2.206T IDR,28.50,836.06 IDR,—,0.01%,Finance,—
AAHAPASURANSI HARTA AMAN PRATAMA TBK,+9.52%,92 IDR,73.082M,2.75,436.1B IDR,—,−3.49 IDR,−292.21%,0.00%,Finance,—
HHITSHUMPUSS INTERMODA TRANSPORTASI TBK,+9.20%,380 IDR,1.535M,11.87,2.421T IDR,14.37,26.44 IDR,—,0.00%,Transportation,—
VVTNYVENTENY FORTUNA INTERNATIONAL TBK,+9.09%,192 IDR,7.18M,0.46,1.159T IDR,—,—,—,0.00%,Technology Services,—
PPGEOPERTAMINA GEOTHERMAL ENERGY TBK,+8.72%,1185 IDR,393.901M,3.37,45.536T IDR,21.73,54.53 IDR,—,0.99%,Utilities,Buy
AAEGSANUGERAH SPAREPARTS SEJAHTERA TBK,+8.70%,75 IDR,2.962M,0.53,—,—,—,—,—,Producer Manufacturing,—
AAIMSAKBAR INDO MAKMUR STIMEC,+8.26%,655 IDR,5.232M,7.87,121B IDR,—,−18.19 IDR,−167.97%,0.00%,Distribution Services,—
WOODINTEGRA INDOCABINET TBK,+7.94%,272 IDR,10.1M,1.23,1.7T IDR,—,−10.01 IDR,−113.20%,2.46%,Consumer Durables,—
TPIACHANDRA ASRI PETROCHEMICAL TBK,+7.82%,4690 IDR,163.624M,4.63,301.06T IDR,—,−10.31 IDR,+51.12%,0.15%,Process Industries,Strong sell
LLPGILIPPO GENERAL INSURANCE,+7.73%,4320 IDR,800,0.91,1.203T IDR,—,−136.14 IDR,−132.43%,1.35%,Finance,—
NNFCXNFC INDONESIA TBK,+7.51%,5230 IDR,112.3K,3.24,3.461T IDR,—,−149.46 IDR,−396.44%,0.00%,Technology Services,—
IIBOSINDO BOGA SUKSES TBK,+7.50%,430 IDR,6.4K,0.02,3.359T IDR,—,—,—,0.00%,Consumer Services,—
GGPSOGEOPRIMA SOLUSI TBK,+6.77%,142 IDR,16.279M,0.89,101.345B IDR,—,−3.42 IDR,−781.28%,0.00%,Technology Services,—
