Symbol,Price,Change %,Volume,Rel Volume,Market cap,P/E,EPS dilTTM,EPS dil growthTTM YoY,Div yield %TTM,Sector,Analyst Rating
,,,,,,,,,,,
AAIMSAKBAR INDO MAKMUR STIMEC,650 IDR,+7.44%,5.249M,7.89,121B IDR,—,−18.19 IDR,−167.97%,0.00%,Distribution Services,—
AAMINATELIERS MECANIQUES D-INDONESIE TBK,199 IDR,+0.51%,268.7K,0.56,209.52B IDR,12.06,16.50 IDR,+543.12%,0.00%,Producer Manufacturing,—
ARCIARCHI INDONESIA TBK,450 IDR,+12.50%,324.815M,5.50,10.48T IDR,70.91,6.35 IDR,−66.99%,0.00%,Non-Energy Minerals,—
AARKAARKHA JAYANTI PERSADA TBK,50 IDR,0.00%,103.4K,0.06,100B IDR,18.19,2.75 IDR,−57.71%,0.00%,Transportation,—
BBAUTMITRA ANGKASA SEJAHTERA TBK,50 IDR,0.00%,100,0.01,240.003B IDR,32.44,1.54 IDR,—,0.54%,Distribution Services,—
BBEKSBANK PEMBANGUNAN DAERAH BANTEN,50 IDR,0.00%,33.8K,0.37,2.594T IDR,—,−2.46 IDR,—,0.00%,Finance,—
BBLTABERLIAN LAJU TANKERS,50 IDR,0.00%,302.9K,3.18,1.295T IDR,5.22,9.58 IDR,+142.57%,0.00%,Transportation,—
BBRENBARITO RENEWABLES ENERGY TBK,8025 IDR,+3.55%,47.914M,1.02,963.261T IDR,—,—,—,0.00%,Utilities,—
BRPTBARITO PACIFIC TBK,1715 IDR,+7.19%,1.335B,3.71,122.589T IDR,394.23,4.35 IDR,+38.14%,0.12%,Non-Energy Minerals,Neutral
BBTEKBUMI TEKNOKULTURA UNGGUL TBK,50 IDR,0.00%,20K,74.07,2.314T IDR,—,−2.41 IDR,−16.67%,0.00%,Process Industries,—
BBUAHSEGAR KUMALA INDONESIA TBK,2070 IDR,+2.48%,453.4K,0.93,2T IDR,64.19,32.25 IDR,—,0.70%,Distribution Services,—
CCNKOEXPLOITASI ENERGI INDONESIA TBK,50 IDR,0.00%,200,0.11,447.818B IDR,—,−23.94 IDR,−275.66%,0.00%,Energy Minerals,—
CCUANPETRINDO JAYA KREASI TBK,10800 IDR,+9.92%,13.443M,0.90,110.452T IDR,269.70,40.04 IDR,—,0.00%,Non-Energy Minerals,—
EELTYBAKRIELAND DEVELOPMENT,50 IDR,0.00%,1.2K,0.10,2.176T IDR,—,−5.75 IDR,−219.70%,0.00%,Finance,—
GGMTDGOWA MAKASSAR TOURISM DEVELPOMENT,23825 IDR,+9.67%,200,1.33,2.206T IDR,28.50,836.06 IDR,—,0.01%,Finance,—
GGZCOGOZCO PLANTATIONS TBK,147 IDR,+19.51%,1.392B,10.12,630B IDR,9.63,15.26 IDR,+100.46%,0.00%,Process Industries,—
INPPINDONESIA PARADISE,720 IDR,+1.41%,994.1K,0.98,7.939T IDR,67.11,10.73 IDR,+168.31%,0.00%,Finance,—
IIOTFSUMBER SINERGI MAKMUR TBK,168 IDR,+6.33%,174.668M,2.20,—,—,—,—,—,Distribution Services,—
JJGLEGRAHA ANDRASENTRA PROPERTINDO,50 IDR,0.00%,500,0.13,1.129T IDR,—,−32.67 IDR,−638.95%,0.00%,Finance,—
KBAGKARYA BERSAMA ANUGERAH,50 IDR,0.00%,249.3K,0.90,357.5B IDR,—,−0.30 IDR,−124.75%,0.22%,Finance,—
KOTADMS PROPERTINDO TBK,50 IDR,0.00%,6.3K,1.00,527.309B IDR,—,−1.75 IDR,+3.11%,0.00%,Finance,—
PPDPPPRIMADAYA PLASTISINDO TBK,376 IDR,+10.59%,37.73M,3.22,1.022T IDR,—,—,—,0.78%,Process Industries,—
PPPROPP PROPERTI TBK,50 IDR,0.00%,20.7K,0.25,3.084T IDR,—,−1.66 IDR,−804.28%,0.00%,Finance,—
PPTROPETROSEA,6975 IDR,−3.13%,26.619M,1.59,6.247T IDR,11.18,623.68 IDR,+31.68%,18.19%,Industrial Services,—
PURAPUTRA RAJAWALI KENCANA TBK,50 IDR,0.00%,600,0.11,315.097B IDR,115.50,0.43 IDR,−78.16%,0.00%,Transportation,—
SSURIMAJA AGUNG LATEXINDO TBK,170 IDR,+4.94%,81.71M,—,—,—,—,—,—,—,—
TAXIEXPRESS TRANSINDO UTAMA TBK,50 IDR,0.00%,200,0.00,511.182B IDR,—,−0.41 IDR,−102.04%,0.00%,Transportation,—
TPIACHANDRA ASRI PETROCHEMICAL TBK,4680 IDR,+7.59%,170.199M,4.81,301.06T IDR,—,−10.31 IDR,+51.12%,0.15%,Process Industries,Strong sell
VIVAVISI MEDIA ASIA TBK,50 IDR,0.00%,900,0.14,823.213B IDR,—,−91.48 IDR,+19.84%,0.00%,Consumer Services,—
WINRWINNER NUSANTARA JAYA TBK,50 IDR,0.00%,10.4K,0.07,—,—,—,—,—,Finance,—
WOWSGINTING JAYA ENERGI TBK,50 IDR,0.00%,7.8K,1.19,123.786B IDR,—,−6.59 IDR,+71.60%,0.00%,Industrial Services,—
ZINCKAPUAS PRIMA COAL TBK,50 IDR,0.00%,3.4K,0.04,1.263T IDR,—,−4.50 IDR,−418.00%,0.00%,Non-Energy Minerals,—
