Symbol,Price,Change %,Volume,Rel Volume,Market cap,P/E,EPS dilTTM,EPS dil growthTTM YoY,Div yield %TTM,Sector,Analyst Rating
,,,,,,,,,,,
BBRENBARITO RENEWABLES ENERGY TBK,8025 IDR,+3.55%,47.914M,1.02,963.261T IDR,—,—,—,0.00%,Utilities,—
BRPTBARITO PACIFIC TBK,1715 IDR,+7.19%,1.335B,3.71,122.589T IDR,394.23,4.35 IDR,+38.14%,0.12%,Non-Energy Minerals,Neutral
BBUAHSEGAR KUMALA INDONESIA TBK,2070 IDR,+2.48%,453.4K,0.93,2T IDR,64.19,32.25 IDR,—,0.70%,Distribution Services,—
CCUANPETRINDO JAYA KREASI TBK,10800 IDR,+9.92%,13.443M,0.90,110.452T IDR,269.70,40.04 IDR,—,0.00%,Non-Energy Minerals,—
GGMTDGOWA MAKASSAR TOURISM DEVELPOMENT,23825 IDR,+9.67%,200,1.33,2.206T IDR,28.50,836.06 IDR,—,0.01%,Finance,—
IIOTFSUMBER SINERGI MAKMUR TBK,168 IDR,+6.33%,174.668M,2.20,—,—,—,—,—,Distribution Services,—
PPDPPPRIMADAYA PLASTISINDO TBK,376 IDR,+10.59%,37.73M,3.22,1.022T IDR,—,—,—,0.78%,Process Industries,—
PPTROPETROSEA,6975 IDR,−3.13%,26.619M,1.59,6.247T IDR,11.18,623.68 IDR,+31.68%,18.19%,Industrial Services,—
TPIACHANDRA ASRI PETROCHEMICAL TBK,4680 IDR,+7.59%,170.199M,4.81,301.06T IDR,—,−10.31 IDR,+51.12%,0.15%,Process Industries,Strong sell
